SCF Table,!Calculation,Year,Characteristic,Sub-Characteristic,"Income, Median ($)","Income, Mean ($)",Percentage of families (%),Percentage of families that saved (%)
1,Internal-Nominal,2010,Current occupation of head,Other occupation,50000,57300,0.188,0.51
1,Internal-Nominal,2010,Current occupation of head,Retired or other not working,27400,42600,0.317,0.451
1,Internal-Nominal,2010,Current occupation of head,"Technical, sales, or services",42000,59400,0.218,0.49
1,Internal-Nominal,2010,Current work status of head,Other not working,23900,36300,0.068,0.37
1,Internal-Nominal,2010,Current work status of head,Retired,29100,44400,0.249,0.473
1,Internal-Nominal,2010,Current work status of head,Self-employed,64500,149800,0.114,0.551
1,Internal-Nominal,2010,Current work status of head,Working for someone else,55900,84100,0.569,0.552
1,Internal-Nominal,2010,Education of head,College degree,80100,142200,0.308,0.629
1,Internal-Nominal,2010,Education of head,High school diploma,36600,48100,0.322,0.474
1,Internal-Nominal,2010,Education of head,No high school diploma,23000,33700,0.12,0.369
1,Internal-Nominal,2010,Education of head,Some college,45700,60500,0.251,0.516
1,Internal-Nominal,2010,Family structure,Couple with child(ren),67700,109400,0.316,0.528
1,Internal-Nominal,2010,Family structure,"Couple, no child",61800,101700,0.265,0.622
1,Internal-Nominal,2010,Family structure,Single with child(ren),29500,39400,0.12,0.382
1,Internal-Nominal,2010,Family structure,"Single, no child, age 55 or more",24200,39600,0.152,0.454
1,Internal-Nominal,2010,Family structure,"Single, no child, age less than 55",30500,42400,0.147,0.498
1,Internal-Nominal,2010,Housing status,Owner,59600,98200,0.673,0.565
1,Internal-Nominal,2010,Housing status,Renter or other,26100,37900,0.327,0.427
1,Internal-Nominal,2010,Percentile of income,20-39.9,28000,27900,0.2,0.434
1,Internal-Nominal,2010,Percentile of income,40-59.9,45700,46200,0.2,0.498
1,Internal-Nominal,2010,Percentile of income,60-79.9,71600,73600,0.2,0.601
1,Internal-Nominal,2010,Percentile of income,80-89.9,112800,114600,0.1,0.677
1,Internal-Nominal,2010,Percentile of income,90-100,205300,348900,0.1,0.809
1,Internal-Nominal,2010,Percentile of income,Less than 20,13400,12900,0.2,0.323
1,Internal-Nominal,2010,Percentile of net worth,25-49.9,37900,45500,0.25,0.484
1,Internal-Nominal,2010,Percentile of net worth,50-74.9,54900,63200,0.25,0.568
1,Internal-Nominal,2010,Percentile of net worth,75-89.9,74500,89000,0.15,0.669
1,Internal-Nominal,2010,Percentile of net worth,90-100,163100,297800,0.1,0.761
1,Internal-Nominal,2010,Percentile of net worth,Less than 25,23700,32600,0.25,0.322
1,Internal-Nominal,2010,Race or ethnicity of respondent,Black or African-American non-hispanic,30500,42400,0.13,0.393
1,Internal-Nominal,2010,Race or ethnicity of respondent,Hispanic or Latino,35100,50700,0.097,0.419
1,Internal-Nominal,2010,Race or ethnicity of respondent,Other or Multiple Race,42200,73800,0.099,0.522
1,Internal-Nominal,2010,Race or ethnicity of respondent,White non-Hispanic,52800,90100,0.675,0.558
1,Internal-Nominal,2010,Region,Midwest,46500,70800,0.224,0.572
1,Internal-Nominal,2010,Region,Northeast,53700,99200,0.183,0.508
1,Internal-Nominal,2010,Region,South,40600,71500,0.371,0.498
1,Internal-Nominal,2010,Region,West,48800,80800,0.222,0.514
1,Internal-Nominal,2010,Urbanicity,Metropolitan statistical area (MSA),48800,84800,0.827,0.517
1,Internal-Nominal,2010,Urbanicity,Non-MSA,36600,48100,0.173,0.533
1,Internal-Nominal,2010,(blank),All families,45700,78500,1,0.52
1,Internal-Nominal,2013,Age of head (years),35-44,60900,102000,0.173,0.535
1,Internal-Nominal,2013,Age of head (years),45-54,60900,103800,0.196,0.507
1,Internal-Nominal,2013,Age of head (years),55-64,55100,110100,0.187,0.554
1,Internal-Nominal,2013,Age of head (years),65-74,45900,98800,0.129,0.512
1,Internal-Nominal,2013,Age of head (years),75 or more,28500,53100,0.107,0.497
1,Internal-Nominal,2013,Age of head (years),Less than 35,35300,48700,0.208,0.555
1,Internal-Nominal,2013,Current occupation of head,Managerial or professional,87700,161700,0.286,0.691
1,Internal-Nominal,2013,Current occupation of head,Other occupation,50700,60600,0.177,0.54
1,Internal-Nominal,2013,Current occupation of head,Retired or other not working,29000,51400,0.334,0.413
1,Internal-Nominal,2013,Current occupation of head,"Technical, sales, or services",40600,64200,0.203,0.489
1,Internal-Nominal,2013,Current work status of head,Other not working,25400,43400,0.064,0.288
1,Internal-Nominal,2013,Current work status of head,Retired,29900,53300,0.27,0.442
1,Internal-Nominal,2013,Current work status of head,Self-employed,70800,213100,0.097,0.613
1,Internal-Nominal,2013,Current work status of head,Working for someone else,56800,86700,0.569,0.585
1,Internal-Nominal,2013,Education of head,College degree,87500,160200,0.32,0.674
1,Internal-Nominal,2013,Education of head,High school diploma,37000,50700,0.313,0.471
1,Internal-Nominal,2013,Education of head,No high school diploma,22400,30100,0.11,0.363
1,Internal-Nominal,2013,Education of head,Some college,43600,65200,0.257,0.495
1,Internal-Nominal,2013,Family structure,Couple with child(ren),74600,122800,0.306,0.57
1,Internal-Nominal,2013,Family structure,"Couple, no child",66800,117600,0.266,0.612
1,Internal-Nominal,2013,Family structure,Single with child(ren),27900,41500,0.121,0.36
1,Internal-Nominal,2013,Family structure,"Single, no child, age 55 or more",25400,41200,0.166,0.465
1,Internal-Nominal,2013,Family structure,"Single, no child, age less than 55",31700,45900,0.141,0.512
1,Internal-Nominal,2013,Housing status,Owner,63400,112400,0.652,0.589
1,Internal-Nominal,2013,Housing status,Renter or other,27800,40100,0.348,0.42
1,Internal-Nominal,2013,Percentile of income,20-39.9,28400,28600,0.2,0.409
1,Internal-Nominal,2013,Percentile of income,40-59.9,46700,47200,0.2,0.496
1,Internal-Nominal,2013,Percentile of income,60-79.9,76400,78500,0.2,0.645
1,Internal-Nominal,2013,Percentile of income,80-89.9,121700,124300,0.1,0.733
1,Internal-Nominal,2013,Percentile of income,90-100,229600,412000,0.1,0.834
1,Internal-Nominal,2013,Percentile of income,Less than 20,13800,13300,0.2,0.317
1,Internal-Nominal,2013,Percentile of net worth,25-49.9,38600,46900,0.25,0.458
1,Internal-Nominal,2013,Percentile of net worth,50-74.9,55800,65800,0.25,0.599
1,Internal-Nominal,2013,Percentile of net worth,75-89.9,87500,100000,0.15,0.694
1,Internal-Nominal,2013,Percentile of net worth,90-100,183400,361200,0.1,0.779
1,Internal-Nominal,2013,Percentile of net worth,Less than 25,23700,31400,0.25,0.336
1,Internal-Nominal,2013,Race or ethnicity of respondent,Black or African-American non-hispanic,31200,42900,0.133,0.421
1,Internal-Nominal,2013,Race or ethnicity of respondent,Hispanic or Latino,32500,44000,0.096,0.413
1,Internal-Nominal,2013,Race or ethnicity of respondent,Other or Multiple Race,41200,70500,0.099,0.499
1,Internal-Nominal,2013,Race or ethnicity of respondent,White non-Hispanic,55800,104500,0.672,0.573
1,Internal-Nominal,2013,Region,Midwest,44200,75200,0.221,0.526
1,Internal-Nominal,2013,Region,Northeast,58300,107200,0.181,0.51
1,Internal-Nominal,2013,Region,South,42600,77900,0.375,0.529
1,Internal-Nominal,2013,Region,West,50700,98300,0.223,0.552
1,Internal-Nominal,2013,Urbanicity,Metropolitan statistical area (MSA),48700,92300,0.87,0.532
1,Internal-Nominal,2013,Urbanicity,Non-MSA,36600,52700,0.13,0.515
1,Internal-Nominal,2013,(blank),All families,46700,87200,1,0.53
1,Internal-Nominal,2016,Age of head (years),35-44,65800,97100,0.168,0.567
1,Internal-Nominal,2016,Age of head (years),45-54,69500,131400,0.183,0.551
1,Internal-Nominal,2016,Age of head (years),55-64,61000,141300,0.192,0.55
1,Internal-Nominal,2016,Age of head (years),65-74,50100,106600,0.141,0.543
1,Internal-Nominal,2016,Age of head (years),75 or more,40000,77100,0.112,0.535
1,Internal-Nominal,2016,Age of head (years),Less than 35,40500,56400,0.203,0.567
1,Internal-Nominal,2016,Current occupation of head,Managerial or professional,91100,190400,0.284,0.676
1,Internal-Nominal,2016,Current occupation of head,Other occupation,54200,67300,0.17,0.538
1,Internal-Nominal,2016,Current occupation of head,Retired or other not working,33500,63800,0.331,0.464
1,Internal-Nominal,2016,Current occupation of head,"Technical, sales, or services",46800,75200,0.215,0.544
1,Internal-Nominal,2016,Current work status of head,Other not working,19700,38900,0.051,0.365
1,Internal-Nominal,2016,Current work status of head,Retired,36500,68300,0.28,0.482
1,Internal-Nominal,2016,Current work status of head,Self-employed,70900,210800,0.106,0.622
1,Internal-Nominal,2016,Current work status of head,Working for someone else,62900,105200,0.562,0.594
1,Internal-Nominal,2016,Education of head,College degree,92100,189700,0.34,0.66
1,Internal-Nominal,2016,Education of head,High school diploma,40500,57200,0.26,0.506
1,Internal-Nominal,2016,Education of head,No high school diploma,26500,38800,0.127,0.393
1,Internal-Nominal,2016,Education of head,Some college,47700,67400,0.273,0.542
1,Internal-Nominal,2016,Family structure,Couple with child(ren),81400,136000,0.288,0.586
1,Internal-Nominal,2016,Family structure,"Couple, no child",74300,143900,0.28,0.639
1,Internal-Nominal,2016,Family structure,Single with child(ren),32600,53100,0.121,0.413
1,Internal-Nominal,2016,Family structure,"Single, no child, age 55 or more",28400,51300,0.17,0.471
1,Internal-Nominal,2016,Family structure,"Single, no child, age less than 55",33400,58100,0.142,0.541
1,Internal-Nominal,2016,Housing status,Owner,71200,134000,0.637,0.623
1,Internal-Nominal,2016,Housing status,Renter or other,31600,47800,0.363,0.433
1,Internal-Nominal,2016,Percentile of income,20-39.9,31400,31800,0.2,0.452
1,Internal-Nominal,2016,Percentile of income,40-59.9,52700,53400,0.2,0.572
1,Internal-Nominal,2016,Percentile of income,60-79.9,86100,87400,0.2,0.648
1,Internal-Nominal,2016,Percentile of income,80-89.9,136000,138700,0.1,0.728
1,Internal-Nominal,2016,Percentile of income,90-100,260200,514700,0.1,0.823
1,Internal-Nominal,2016,Percentile of income,Less than 20,15100,14400,0.2,0.321
1,Internal-Nominal,2016,Percentile of net worth,25-49.9,42000,50900,0.25,0.483
1,Internal-Nominal,2016,Percentile of net worth,50-74.9,64800,74900,0.25,0.638
1,Internal-Nominal,2016,Percentile of net worth,75-89.9,90800,113400,0.15,0.684
1,Internal-Nominal,2016,Percentile of net worth,90-100,215900,456900,0.1,0.788
1,Internal-Nominal,2016,Percentile of net worth,Less than 25,25300,34300,0.25,0.369
1,Internal-Nominal,2016,Race or ethnicity of respondent,Black or African-American non-hispanic,35400,54000,0.146,0.475
1,Internal-Nominal,2016,Race or ethnicity of respondent,Hispanic or Latino,38500,57300,0.102,0.423
1,Internal-Nominal,2016,Race or ethnicity of respondent,Other or Multiple Race,50600,86900,0.105,0.544
1,Internal-Nominal,2016,Race or ethnicity of respondent,White non-Hispanic,61200,123400,0.647,0.594
1,Internal-Nominal,2016,Region,Midwest,51600,96300,0.218,0.572
1,Internal-Nominal,2016,Region,Northeast,60800,128900,0.177,0.541
1,Internal-Nominal,2016,Region,South,48600,94400,0.38,0.551
1,Internal-Nominal,2016,Region,West,54300,102400,0.225,0.552
1,Internal-Nominal,2016,Urbanicity,Metropolitan statistical area (MSA),55200,109700,0.875,0.557
1,Internal-Nominal,2016,Urbanicity,Non-MSA,38700,54100,0.125,0.532
1,Internal-Nominal,2016,(blank),All families,52700,102700,1,0.554
