SCF Table,!Calculation,Year,Characteristic,Sub-Characteristic,"Income, Median ($)","Income, Mean ($)",Percentage of families that saved (%),Percentage of families (%)
1,Internal-Real,2007,Race or ethnicity of respondent,Other or Multiple Race,58600.0,81000.0,0.5770000000000001,0.09
1,Internal-Real,2007,Current work status of head,Working for someone else,65500.0,96200.0,0.603,0.599
1,Internal-Real,2007,Current work status of head,Self-employed,87600.0,222100.0,0.628,0.105
1,Internal-Real,2007,Current work status of head,Retired,28600.0,59200.0,0.466,0.25
1,Internal-Real,2007,Current work status of head,Other not working,23600.0,41000.0,0.45299999999999996,0.046
1,Internal-Real,2007,Current occupation of head,Managerial or professional,98800.0,180800.0,0.7020000000000001,0.275
1,Internal-Real,2007,Current occupation of head,"Technical, sales, or services",51200.0,78200.0,0.556,0.218
1,Internal-Real,2007,Current occupation of head,Other occupation,57200.0,67100.0,0.536,0.21100000000000002
1,Internal-Real,2007,Current occupation of head,Retired or other not working,27600.0,56300.0,0.46399999999999997,0.29600000000000004
1,Internal-Real,2007,Region,Northeast,59600.0,116300.0,0.535,0.183
1,Internal-Real,2007,Region,Midwest,51200.0,86800.0,0.5820000000000001,0.22899999999999998
1,Internal-Real,2007,Region,South,49700.0,91900.0,0.569,0.36700000000000005
1,Internal-Real,2007,Region,West,60100.0,102700.0,0.563,0.221
1,Internal-Real,2007,Urbanicity,Metropolitan statistical area (MSA),58400.0,105700.0,0.57,0.8290000000000001
1,Internal-Real,2007,Urbanicity,Non-MSA,41700.0,58100.0,0.54,0.171
1,Internal-Real,2007,Housing status,Owner,71500.0,122300.0,0.609,0.6859999999999999
1,Internal-Real,2007,Housing status,Renter or other,32200.000000000004,43500.0,0.467,0.314
1,Internal-Real,2007,Percentile of net worth,Less than 25,27100.0,33800.0,0.405,0.25
1,Internal-Real,2007,Percentile of net worth,25–49.9,47600.0,53800.0,0.528,0.25
1,Internal-Real,2007,Percentile of net worth,50–74.9,65700.0,77100.0,0.591,0.25
1,Internal-Real,2007,Percentile of net worth,75–89.9,95300.0,107600.0,0.6890000000000001,0.15
1,Internal-Real,2007,Percentile of net worth,90–100,182900.0,402600.0,0.804,0.1
1,Internal-Real,2010,,All families,50600.0,86700.0,0.52,1.0
1,Internal-Real,2010,Percentile of income,Less than 20,14800.0,14200.0,0.32299999999999995,0.2
1,Internal-Real,2010,Percentile of income,20–39.9,31000.0,30800.0,0.434,0.2
1,Internal-Real,2010,Percentile of income,40–59.9,50600.0,51100.0,0.498,0.2
1,Internal-Real,2010,Percentile of income,60–79.9,79200.0,81300.0,0.601,0.2
1,Internal-Real,2010,Percentile of income,80–89.9,124700.0,126600.0,0.677,0.1
1,Internal-Real,2010,Percentile of income,90–100,226900.0,385700.0,0.809,0.1
1,Internal-Real,2010,Age of head (years),Less than 35,38800.0,52700.0,0.546,0.21
1,Internal-Real,2010,Age of head (years),35–44,59500.0,89500.0,0.47600000000000003,0.182
1,Internal-Real,2010,Age of head (years),45–54,67400.0,112900.0,0.518,0.21100000000000002
1,Internal-Real,2010,Age of head (years),55–64,60900.0,116900.0,0.514,0.175
1,Internal-Real,2010,Age of head (years),65–74,47200.0,83700.0,0.536,0.115
1,Internal-Real,2010,Age of head (years),75 or more,32200.000000000004,50900.0,0.541,0.107
1,Internal-Real,2010,Family structure,Single with child(ren),32600.0,43500.0,0.382,0.12
1,Internal-Real,2010,Family structure,"Single, no child, age less than 55",33700.0,46900.0,0.498,0.147
1,Internal-Real,2010,Family structure,"Single, no child, age 55 or more",26800.0,43700.0,0.45399999999999996,0.152
1,Internal-Real,2010,Family structure,Couple with child(ren),74800.0,120900.0,0.528,0.316
1,Internal-Real,2010,Family structure,"Couple, no child",68300.0,112400.0,0.622,0.265
1,Internal-Real,2010,Education of head,No high school diploma,25400.0,37300.0,0.369,0.12
1,Internal-Real,2010,Education of head,High school diploma,40400.0,53200.0,0.474,0.322
1,Internal-Real,2010,Education of head,Some college,50500.0,66900.0,0.516,0.251
1,Internal-Real,2010,Education of head,College degree,88600.0,157200.0,0.629,0.308
1,Internal-Real,2010,Race or ethnicity of respondent,White non-Hispanic,58400.0,99600.0,0.5579999999999999,0.675
1,Internal-Real,2010,Race or ethnicity of respondent,Black or African-American non-hispanic,33700.0,46900.0,0.39299999999999996,0.13
1,Internal-Real,2010,Race or ethnicity of respondent,Hispanic or Latino,38800.0,56000.0,0.419,0.09699999999999999
1,Internal-Real,2010,Race or ethnicity of respondent,Other or Multiple Race,46600.0,81600.0,0.522,0.099
1,Internal-Real,2010,Current work status of head,Working for someone else,61800.0,93000.0,0.552,0.569
1,Internal-Real,2010,Current work status of head,Self-employed,71200.0,165600.0,0.551,0.114
1,Internal-Real,2010,Current work status of head,Retired,32100.0,49100.0,0.473,0.249
1,Internal-Real,2010,Current work status of head,Other not working,26400.0,40100.0,0.37,0.068
1,Internal-Real,2010,Current occupation of head,Managerial or professional,89900.0,164300.0,0.629,0.27699999999999997
1,Internal-Real,2010,Current occupation of head,"Technical, sales, or services",46500.0,65700.0,0.49,0.218
1,Internal-Real,2010,Current occupation of head,Other occupation,55300.0,63300.0,0.51,0.188
1,Internal-Real,2010,Current occupation of head,Retired or other not working,30300.0,47100.0,0.451,0.317
1,Internal-Real,2010,Region,Northeast,59300.0,109600.0,0.508,0.183
1,Internal-Real,2010,Region,Midwest,51400.0,78300.0,0.5720000000000001,0.22399999999999998
1,Internal-Real,2010,Region,South,44900.0,79100.0,0.498,0.371
1,Internal-Real,2010,Region,West,53900.0,89300.0,0.514,0.222
1,Internal-Real,2010,Urbanicity,Metropolitan statistical area (MSA),53900.0,93700.0,0.517,0.8270000000000001
1,Internal-Real,2010,Urbanicity,Non-MSA,40400.0,53200.0,0.5329999999999999,0.17300000000000001
1,Internal-Real,2010,Housing status,Owner,65800.0,108600.0,0.565,0.6729999999999999
1,Internal-Real,2010,Housing status,Renter or other,28800.0,41800.0,0.42700000000000005,0.327
1,Internal-Real,2010,Percentile of net worth,Less than 25,26200.0,36100.0,0.322,0.25
1,Internal-Real,2010,Percentile of net worth,25–49.9,41800.0,50300.0,0.484,0.25
1,Internal-Real,2010,Percentile of net worth,50–74.9,60700.0,69900.0,0.568,0.25
1,Internal-Real,2010,Percentile of net worth,75–89.9,82300.0,98300.0,0.669,0.15
1,Internal-Real,2010,Percentile of net worth,90–100,180300.0,329100.0,0.7609999999999999,0.1
1,Internal-Real,2013,,All families,48100.0,89900.0,0.53,1.0
1,Internal-Real,2013,Percentile of income,Less than 20,14200.0,13700.0,0.317,0.2
1,Internal-Real,2013,Percentile of income,20–39.9,29300.0,29400.0,0.409,0.2
1,Internal-Real,2013,Percentile of income,40–59.9,48100.0,48700.0,0.496,0.2
1,Internal-Real,2013,Percentile of income,60–79.9,78800.0,81000.0,0.645,0.2
1,Internal-Real,2013,Percentile of income,80–89.9,125500.0,128199.99999999999,0.733,0.1
1,Internal-Real,2013,Percentile of income,90–100,236800.0,424800.0,0.8340000000000001,0.1
1,Internal-Real,2013,Age of head (years),Less than 35,36400.0,50200.0,0.555,0.20800000000000002
1,Internal-Real,2013,Age of head (years),35–44,62800.0,105200.0,0.535,0.17300000000000001
1,Internal-Real,2013,Age of head (years),45–54,62800.0,107100.0,0.507,0.196
1,Internal-Real,2013,Age of head (years),55–64,56800.0,113500.0,0.5539999999999999,0.187
1,Internal-Real,2013,Age of head (years),65–74,47400.0,101900.0,0.512,0.129
1,Internal-Real,2013,Age of head (years),75 or more,29400.0,54800.0,0.49700000000000005,0.107
1,Internal-Real,2013,Family structure,Single with child(ren),28700.0,42800.0,0.36,0.121
1,Internal-Real,2013,Family structure,"Single, no child, age less than 55",32600.0,47300.0,0.512,0.141
1,Internal-Real,2013,Family structure,"Single, no child, age 55 or more",26200.0,42500.0,0.465,0.166
1,Internal-Real,2013,Family structure,Couple with child(ren),77000.0,126600.0,0.57,0.306
1,Internal-Real,2013,Family structure,"Couple, no child",68900.0,121300.0,0.612,0.266
1,Internal-Real,2013,Education of head,No high school diploma,23100.0,31000.0,0.363,0.11
1,Internal-Real,2013,Education of head,High school diploma,38100.0,52300.0,0.47100000000000003,0.313
1,Internal-Real,2013,Education of head,Some college,45000.0,67200.0,0.495,0.257
1,Internal-Real,2013,Education of head,College degree,90200.0,165100.0,0.674,0.32
1,Internal-Real,2013,Race or ethnicity of respondent,White non-Hispanic,57500.0,107800.0,0.573,0.672
1,Internal-Real,2013,Race or ethnicity of respondent,Black or African-American non-hispanic,32200.000000000004,44300.0,0.42100000000000004,0.133
1,Internal-Real,2013,Race or ethnicity of respondent,Hispanic or Latino,33500.0,45400.0,0.413,0.096
1,Internal-Real,2013,Race or ethnicity of respondent,Other or Multiple Race,42500.0,72700.0,0.499,0.099
1,Internal-Real,2013,Current work status of head,Working for someone else,58600.0,89400.0,0.585,0.569
1,Internal-Real,2013,Current work status of head,Self-employed,73000.0,219700.0,0.613,0.09699999999999999
1,Internal-Real,2013,Current work status of head,Retired,30800.0,55000.0,0.442,0.27
1,Internal-Real,2013,Current work status of head,Other not working,26200.0,44800.0,0.28800000000000003,0.064
1,Internal-Real,2013,Current occupation of head,Managerial or professional,90400.0,166700.0,0.691,0.28600000000000003
1,Internal-Real,2013,Current occupation of head,"Technical, sales, or services",41800.0,66200.0,0.489,0.203
1,Internal-Real,2013,Current occupation of head,Other occupation,52300.0,62500.0,0.54,0.177
1,Internal-Real,2013,Current occupation of head,Retired or other not working,29900.0,53000.0,0.413,0.33399999999999996
1,Internal-Real,2013,Region,Northeast,60100.0,110500.0,0.51,0.18100000000000002
1,Internal-Real,2013,Region,Midwest,45500.0,77500.0,0.526,0.221
1,Internal-Real,2013,Region,South,43900.0,80300.0,0.529,0.375
1,Internal-Real,2013,Region,West,52300.0,101400.0,0.552,0.223
1,Internal-Real,2013,Urbanicity,Metropolitan statistical area (MSA),50200.0,95200.0,0.532,0.87
1,Internal-Real,2013,Urbanicity,Non-MSA,37800.0,54300.0,0.515,0.13
1,Internal-Real,2013,Housing status,Owner,65300.0,115900.0,0.589,0.652
1,Internal-Real,2013,Housing status,Renter or other,28700.0,41300.0,0.42,0.348
1,Internal-Real,2013,Percentile of net worth,Less than 25,24500.0,32400.0,0.336,0.25
1,Internal-Real,2013,Percentile of net worth,25–49.9,39800.0,48300.0,0.45799999999999996,0.25
1,Internal-Real,2013,Percentile of net worth,50–74.9,57500.0,67900.0,0.599,0.25
1,Internal-Real,2013,Percentile of net worth,75–89.9,90200.0,103100.0,0.6940000000000001,0.15
1,Internal-Real,2013,Percentile of net worth,90–100,189100.0,372400.0,0.779,0.1
1,Internal-Real,2016,,All families,52700.0,102700.0,0.5539999999999999,1.0
1,Internal-Real,2016,Percentile of income,Less than 20,15100.0,14400.0,0.321,0.2
1,Internal-Real,2016,Percentile of income,20–39.9,31400.0,31800.0,0.452,0.2
1,Internal-Real,2016,Percentile of income,40–59.9,52700.0,53400.0,0.5720000000000001,0.2
1,Internal-Real,2016,Percentile of income,60–79.9,86100.0,87400.0,0.648,0.2
1,Internal-Real,2016,Percentile of income,80–89.9,136000.0,138700.0,0.728,0.1
1,Internal-Real,2016,Percentile of income,90–100,260200.0,514700.00000000006,0.823,0.1
1,Internal-Real,2016,Age of head (years),Less than 35,40500.0,56400.0,0.5670000000000001,0.203
1,Internal-Real,2016,Age of head (years),35–44,65800.0,97100.0,0.5670000000000001,0.168
1,Internal-Real,2016,Age of head (years),45–54,69500.0,131400.0,0.551,0.183
1,Internal-Real,2016,Age of head (years),55–64,61000.0,141300.0,0.55,0.192
1,Internal-Real,2016,Age of head (years),65–74,50100.0,106600.0,0.5429999999999999,0.141
1,Internal-Real,2016,Age of head (years),75 or more,40000.0,77100.0,0.535,0.11199999999999999
1,Internal-Real,2016,Family structure,Single with child(ren),32600.0,53100.0,0.413,0.121
1,Internal-Real,2016,Family structure,"Single, no child, age less than 55",33400.0,58100.0,0.541,0.142
1,Internal-Real,2016,Family structure,"Single, no child, age 55 or more",28400.0,51300.0,0.47100000000000003,0.17
1,Internal-Real,2016,Family structure,Couple with child(ren),81400.0,136000.0,0.586,0.28800000000000003
1,Internal-Real,2016,Family structure,"Couple, no child",74300.0,143900.0,0.639,0.28
1,Internal-Real,2016,Education of head,No high school diploma,26500.0,38800.0,0.39299999999999996,0.127
1,Internal-Real,2016,Education of head,High school diploma,40500.0,57200.0,0.506,0.26
1,Internal-Real,2016,Education of head,Some college,47700.0,67400.0,0.542,0.273
1,Internal-Real,2016,Education of head,College degree,92100.0,189700.0,0.66,0.34
1,Internal-Real,2016,Race or ethnicity of respondent,White non-Hispanic,61200.0,123400.0,0.594,0.647
1,Internal-Real,2016,Race or ethnicity of respondent,Black or African-American non-hispanic,35400.0,54000.0,0.475,0.146
1,Internal-Real,2016,Race or ethnicity of respondent,Hispanic or Latino,38500.0,57300.0,0.423,0.102
1,Internal-Real,2016,Race or ethnicity of respondent,Other or Multiple Race,50600.0,86900.0,0.544,0.105
1,Internal-Real,2016,Current work status of head,Working for someone else,62900.0,105200.0,0.594,0.562
1,Internal-Real,2016,Current work status of head,Self-employed,70900.0,210800.0,0.622,0.106
1,Internal-Real,2016,Current work status of head,Retired,36500.0,68300.0,0.48200000000000004,0.28
1,Internal-Real,2016,Current work status of head,Other not working,19700.0,38900.0,0.365,0.051
1,Internal-Real,2016,Current occupation of head,Managerial or professional,91100.0,190400.0,0.6759999999999999,0.284
1,Internal-Real,2016,Current occupation of head,"Technical, sales, or services",46800.0,75200.0,0.544,0.215
1,Internal-Real,2016,Current occupation of head,Other occupation,54200.0,67300.0,0.5379999999999999,0.17
1,Internal-Real,2016,Current occupation of head,Retired or other not working,33500.0,63800.0,0.46399999999999997,0.331
1,Internal-Real,2016,Region,Northeast,60800.0,128900.0,0.541,0.177
1,Internal-Real,2016,Region,Midwest,51600.0,96300.0,0.5720000000000001,0.218
1,Internal-Real,2016,Region,South,48600.0,94400.0,0.551,0.38
1,Internal-Real,2016,Region,West,54300.0,102400.0,0.552,0.225
1,Internal-Real,2016,Urbanicity,Metropolitan statistical area (MSA),55200.0,109700.0,0.557,0.875
1,Internal-Real,2016,Urbanicity,Non-MSA,38700.0,54100.0,0.532,0.125
1,Internal-Real,2016,Housing status,Owner,71200.0,134000.0,0.623,0.637
1,Internal-Real,2016,Housing status,Renter or other,31600.0,47800.0,0.433,0.363
1,Internal-Real,2016,Percentile of net worth,Less than 25,25300.0,34300.0,0.369,0.25
1,Internal-Real,2016,Percentile of net worth,25–49.9,42000.0,50900.0,0.483,0.25
1,Internal-Real,2016,Percentile of net worth,50–74.9,64800.0,74900.0,0.638,0.25
1,Internal-Real,2016,Percentile of net worth,75–89.9,90800.0,113400.0,0.684,0.15
1,Internal-Real,2016,Percentile of net worth,90–100,215900.0,456900.0,0.7879999999999999,0.1
