SCF Table,!Calculation,Year,Characteristic,Sub-Characteristic,Median,Mean
4,Internal-Real,2013,Family structure,"Single, no child, age 55 or more",111400.0,384500.0
4,Internal-Real,2013,Family structure,Couple with child(ren),95300.0,607600.0
4,Internal-Real,2013,Family structure,"Couple, no child",220500.0,992700.0
4,Internal-Real,2013,Education of head,No high school diploma,17700.0,112200.0
4,Internal-Real,2013,Education of head,High school diploma,54100.0,205800.0
4,Internal-Real,2013,Education of head,Some college,52300.0,328300.0
4,Internal-Real,2013,Education of head,College degree,285600.0,1219700.0
4,Internal-Real,2013,Race or ethnicity of respondent,White non-Hispanic,146400.0,727800.0
4,Internal-Real,2013,Race or ethnicity of respondent,Black or African-American non-hispanic,13600.0,102100.0
4,Internal-Real,2013,Race or ethnicity of respondent,Hispanic or Latino,14200.0,111000.0
4,Internal-Real,2013,Race or ethnicity of respondent,Other or Multiple Race,42500.0,383600.0
4,Internal-Real,2013,Current work status of head,Working for someone else,63900.0,324500.0
4,Internal-Real,2013,Current work status of head,Self-employed,370000.0,2234900.0
4,Internal-Real,2013,Current work status of head,Retired,132000.0,523299.99999999994
4,Internal-Real,2013,Current work status of head,Other not working,9300.0,139500.0
4,Internal-Real,2013,Current occupation of head,Managerial or professional,198300.0,1095700.0
4,Internal-Real,2013,Current occupation of head,"Technical, sales, or services",32800.0,277100.0
4,Internal-Real,2013,Current occupation of head,Other occupation,51100.0,177500.0
4,Internal-Real,2013,Current occupation of head,Retired or other not working,94000.0,450200.0
4,Internal-Real,2013,Region,Northeast,133900.0,649800.0
4,Internal-Real,2013,Region,Midwest,78300.0,462000.0
4,Internal-Real,2013,Region,South,71700.0,465500.0
4,Internal-Real,2013,Region,West,89300.0,704200.0
4,Internal-Real,2013,Urbanicity,Metropolitan statistical area (MSA),87300.0,593200.0
4,Internal-Real,2013,Urbanicity,Non-MSA,70100.0,269400.0
4,Internal-Real,2013,Housing status,Owner,201500.0,807300.0
4,Internal-Real,2013,Housing status,Renter or other,5500.0,72500.0
4,Internal-Real,2013,Percentile of net worth,Less than 25,0.0,-13800.0
4,Internal-Real,2013,Percentile of net worth,25–49.9,32299.999999999996,37000.0
4,Internal-Real,2013,Percentile of net worth,50–74.9,173300.0,183200.0
4,Internal-Real,2013,Percentile of net worth,75–89.9,521600.0,563200.0
4,Internal-Real,2013,Percentile of net worth,90–100,1930000.0,4150000.0
4,Internal-Real,2016,,All families,97300.0,692000.0
4,Internal-Real,2016,Percentile of income,Less than 20,6500.0,89500.0
4,Internal-Real,2016,Percentile of income,20–39.9,32299.999999999996,128699.99999999999
4,Internal-Real,2016,Percentile of income,40–59.9,81500.0,207300.0
4,Internal-Real,2016,Percentile of income,60–79.9,168300.0,373500.0
4,Internal-Real,2016,Percentile of income,80–89.9,390600.0,771000.0
4,Internal-Real,2016,Percentile of income,90–100,1640100.0,4550200.0
4,Internal-Real,2016,Age of head (years),Less than 35,11000.0,76100.0
4,Internal-Real,2016,Age of head (years),35–44,59800.0,288600.0
4,Internal-Real,2016,Age of head (years),45–54,124200.0,727500.0
4,Internal-Real,2016,Age of head (years),55–64,187300.0,1167400.0
4,Internal-Real,2016,Age of head (years),65–74,223400.0,1066000.0
4,Internal-Real,2016,Age of head (years),75 or more,264800.0,1066900.0
4,Internal-Real,2016,Family structure,Single with child(ren),21700.0,169700.0
4,Internal-Real,2016,Family structure,"Single, no child, age less than 55",13800.0,182300.0
4,Internal-Real,2016,Family structure,"Single, no child, age 55 or more",114800.0,508100.0
4,Internal-Real,2016,Family structure,Couple with child(ren),116700.0,721500.0
4,Internal-Real,2016,Family structure,"Couple, no child",226300.0,1257600.0
4,Internal-Real,2016,Education of head,No high school diploma,22800.0,157100.0
4,Internal-Real,2016,Education of head,High school diploma,67100.0,249500.0
4,Internal-Real,2016,Education of head,Some college,66000.0,340500.0
4,Internal-Real,2016,Education of head,College degree,292100.0,1511100.0
4,Internal-Real,2016,Race or ethnicity of respondent,White non-Hispanic,171000.0,933700.0
4,Internal-Real,2016,Race or ethnicity of respondent,Black or African-American non-hispanic,17100.0,138000.0
4,Internal-Real,2016,Race or ethnicity of respondent,Hispanic or Latino,20600.0,191200.0
4,Internal-Real,2016,Race or ethnicity of respondent,Other or Multiple Race,64700.0,457700.0
4,Internal-Real,2016,Current work status of head,Working for someone else,70500.0,413400.0
4,Internal-Real,2016,Current work status of head,Self-employed,312000.0,2398100.0
4,Internal-Real,2016,Current work status of head,Retired,158600.0,711200.0
4,Internal-Real,2016,Current work status of head,Other not working,8200.0,102000.0
4,Internal-Real,2016,Current occupation of head,Managerial or professional,205000.0,1349300.0
4,Internal-Real,2016,Current occupation of head,"Technical, sales, or services",43200.0,327700.0
4,Internal-Real,2016,Current occupation of head,Other occupation,51300.0,203900.0
4,Internal-Real,2016,Current occupation of head,Retired or other not working,117600.0,616500.0
4,Internal-Real,2016,Region,Northeast,145900.0,803800.0
4,Internal-Real,2016,Region,Midwest,97400.0,622000.0
4,Internal-Real,2016,Region,South,82100.0,601300.0
4,Internal-Real,2016,Region,West,107900.0,824900.0
4,Internal-Real,2016,Urbanicity,Metropolitan statistical area (MSA),99000.0,751200.0
4,Internal-Real,2016,Urbanicity,Non-MSA,87700.0,276200.0
4,Internal-Real,2016,Housing status,Owner,231400.0,1034200.0
4,Internal-Real,2016,Housing status,Renter or other,5000.0,91000.0
4,Internal-Real,2016,Percentile of net worth,Less than 25,100.0,-12200.0
4,Internal-Real,2016,Percentile of net worth,25–49.9,39700.0,44700.0
4,Internal-Real,2016,Percentile of net worth,50–74.9,191800.0,204100.0
4,Internal-Real,2016,Percentile of net worth,75–89.9,604900.0,659300.0
4,Internal-Real,2016,Percentile of net worth,90–100,2387500.0,5336000.0
